"id","ImportID","Name","PeakBody","Competition","Ranking","AdminNotes","MemChairman","MemVChairman","MemSecretary","MemTreasurer"
81,,"BHA National","2","Yes",10,"","606","","878","1748"
93,,"Virtual Qualifying Contest","2","Yes",12,"","","","",""
82,,"BHNZ National","2","Yes",20,"","","","",""
83,,"Pan-Pacific","2","Yes",30,"","","","",""
84,,"National Quartet Challenge","2","Yes",40,"","","","",""
41,,"Eastern Region","2","",110,"","1355","","2449","29"
44,,"Sunshine Region","2","",120,"","2431","960","2553","1372"
45,,"Western Region","2","No",130,"","2389","","656","2601"
46,,"Victorian Region","2","",140,"","1207","1854","1514","1514"
47,,"Tasmanian Region","2","No",150,"","968","","1861","286"
49,,"Central Region","2","",160,"","1571","2072","2501","1571"
